['สน.บางกอกน้อย', '13.760088701318809, 100.4716142217143'],
['สน.บางกอกใหญ่', '13.74174450753448, 100.48670190716373'],
['สน.บางขุนนนท์', '13.77037431080412, 100.46828576841402'],
['สน.บางพลัด', '13.794939329059266, 100.490406926085'],
['สน.บางยี่ขัน', '13.765525100571008, 100.49144403773074'],
['สน.บางเสาธง', '13.74330495952257, 100.45989270637128'],
['สน.ศาลาแดง', '13.751502690353892, 100.35315642608464'],
['สน.ตลาดพลู', '13.717745081593733, 100.47401476841361'],
['สน.ทุ่งครุ', '13.627467397635632, 100.50694542608377'],
['สน.บางคอแหลม', '13.68498814188502, 100.49884502608414'],
['สน.บางมด', '13.673798265652515, 100.45509912608411'],
['สน.บางยี่เรือ', '13.726816923170212, 100.48683502793227'],
['สน.บุคคโล', '13.705940567056173, 100.4904913009445'],
['สน.บุปผาราม', '13.736351334318288, 100.48984316841373'],
['สน.ปากคลองสาน', '13.73116466815997, 100.50973471074299'],
['สน.ราษฏร์บูรณะ', '13.684124590397596, 100.49844532608418'],
['สน.สมเด็จเจ้าพระยา', '13.73108052373589, 100.5097568107429'],
['สน.สำเหร่', '13.706005627122236, 100.49055678560288'],
['สน.ท่าข้าม', '13.639166532736677, 100.44695868005898'],
['สน.เทียนทะเล', '13.551472060340851, 100.41884605491859'],
['สน.บางขุนเทียน', '13.68562543577415, 100.44468259909655'],
['สน.บางบอน', '13.645784764431928, 100.38148795491934'],
['สน.เพชรเกษม', '13.695914214162357, 100.3924625972489'],
['สน.ภาษีเจริญ', '13.715305982028582, 100.43687146841361'],
['สน.แสมดำ', '13.637817707125176, 100.39582400636199'],
['สน.หนองแขม', '13.676615490402463, 100.34551366841332'],
['สน.หนองค้างพลู', '13.728928957290824, 100.34905071074292'],
['สน.หลักสอง', '13.711555944224044, 100.38225499724904'],
['สน.รถไฟนพวงศ์', '13.745924733460425, 100.51675818190762'],
['สน.ธนบุรี', '13.759695495044227, 100.48130833957858'],
['สน.มักกะสัน', '13.746494861395274, 100.5834623343306'],
['สถานีตำรวจภูธรท่าอากาศยานสุวรรณภูมิ', '13.713781113358149, 100.775552397249'],
